board(hex)   channel(0-31)   voltage(V)
---------------------------------------
  9f             1            0.0
  9f             0            0.0
  9f             2            0.0
  9f             3            0.0
  9f             4            0.0
  9f             5            0.0
  9f             6            0.0
  9f             7            0.0
  9f             8            0.0
  9f             9            0.0
  9f            10            0.0
  9f            11            0.0
  9f            12            0.0
  9f            13            0.0
  9f            14            0.0
  9f            15            0.0
  9f            16            0.0
  9f            17            0.0
  9f            18            0.0
  9f            19            0.0
  9f            20            0.0
  9f            21            0.0
  9f            22            0.0
  9f            23            0.0
  9f            24            0.0
  9f            25            0.0
  9f            26            0.0
  9f            27            0.0
  9f            28            0.0
  9f            29            0.0
  9f            30            0.0
  9f            31            0.0
