board(hex)   channel(0-31)   voltage(V)
---------------------------------------
  9f             1            71.880
  9f             0            71.950
  9f             2            71.850
  9f             3            71.910
  9f             4            71.940
  9f             5            71.930
  9f             6            71.920
  9f             7            71.860
  9f             8            71.890
  9f             9            71.770
  9f            10            71.830
  9f            11            71.790
  9f            12            71.830
  9f            13            71.830
  9f            14            71.960
  9f            15            71.960
  9f            16            71.890
  9f            17            71.970
  9f            18            71.910
  9f            19            71.910
  9f            20            71.950
  9f            21            72.000
  9f            22            72.010
  9f            23            71.970
  9f            24            72.020
  9f            25            72.000
  9f            26            71.990
  9f            27            72.060
  9f            28            72.200
  9f            29            71.970
  9f            30             5.000
  9f            31            13.000
